t,latitude,longitude,altitude
248.0,47.96644079498293,-81.84859665142321,3720.677951692543
249.0,47.96667686282823,-81.84872850025364,3677.521226888723
250.0,47.96647651839038,-81.84885755040557,3631.0121761525875
251.0,47.966396132929404,-81.84898240342444,3624.8500471608263
252.0,47.966366089342316,-81.84879717014489,3592.4799140873915
253.0,47.96673431329221,-81.84858972323181,3557.4446252501307
254.0,47.966612568875036,-81.84885628655047,3520.940432460254
255.0,47.96658543204804,-81.84868920869323,3506.699140844329
256.0,47.966481423929174,-81.84869607313438,3484.016963092299
257.0,47.96637353255207,-81.84906893439906,3437.9757225303883
258.0,47.96660333202816,-81.84920631748136,3412.3098453545863
259.0,47.96646818802874,-81.84898711263412,3406.537898255862
260.0,47.966470040209416,-81.84899977808233,3360.2693120688755
261.0,47.96643598492463,-81.84895539480178,3363.707047030551
262.0,47.966623013826826,-81.84921645906712,3316.706143601137
263.0,47.966669928653026,-81.84938037161666,3291.3614147083013
264.0,47.966382823301245,-81.84903895500429,3247.2510753085303
265.0,47.96655080869878,-81.84922463348593,3223.5040472133837
266.0,47.96650291028695,-81.84931821173802,3212.762606398644
267.0,47.966413705225186,-81.84937430925822,3162.7943527503885
268.0,47.96656268266152,-81.84949014825301,3159.0161400273287
269.0,47.96659515803437,-81.84956228671709,3117.3997426845576
270.0,47.9666777668057,-81.84949825090884,3095.0351417257093
271.0,47.96655362177779,-81.84957186603741,3078.3922736590175
272.0,47.96673488124503,-81.84962258495908,3070.9681869329193
273.0,47.96683746389561,-81.8497259254207,3005.722418644344
274.0,47.96673757882887,-81.84971115652922,2973.040841605292
275.0,47.96684441209352,-81.84960301840121,2973.801807718179
276.0,47.96680372156645,-81.84982635352644,2931.7306560254065
277.0,47.966760324577464,-81.84969846703413,2896.0275907478886
278.0,47.96677705673173,-81.85011293206928,2902.517664264711
279.0,47.96674542958696,-81.84967697210016,2867.771940735289
280.0,47.966756872171786,-81.84973553510542,2809.254042388831
281.0,47.96670245190014,-81.84993328032346,2785.553791912674
282.0,47.96691021124171,-81.84980753223972,2752.0479338738232
283.0,47.966875671060464,-81.84987638981502,2753.3540827254556
284.0,47.96664391853027,-81.85007896265546,2730.3756294062396
285.0,47.966648048504815,-81.84975648605955,2711.41807984112
286.0,47.96684027387274,-81.85004371548298,2678.5748075785154
287.0,47.96683368915026,-81.85010086684619,2661.804511273234
288.0,47.96697420523428,-81.85014810941865,2642.4011557404815
289.0,47.96677336374226,-81.84984049322064,2610.2777742979943
290.0,47.966742697268494,-81.8501127988555,2591.7855190685623
291.0,47.96683374355978,-81.85041806432068,2522.8531135501244
292.0,47.96692780117132,-81.85033743230369,2516.9074132951678
293.0,47.96674030170759,-81.85059039281127,2478.0689780268267
294.0,47.966808382823665,-81.85047938541162,2472.43839165577
295.0,47.96675989370655,-81.8507027760957,2405.565227644019
296.0,47.96691040616178,-81.85029655590516,2406.6292355694623
297.0,47.96692411926947,-81.85064426277566,2431.3338771287845
298.0,47.966783839554175,-81.85049997483372,2358.522382663471
299.0,47.96705417725562,-81.85018742537991,2299.96539823231
300.0,47.96689913521062,-81.85057527342214,2285.9326546311418
301.0,47.966924269723776,-81.85064036432583,2262.303387444099
302.0,47.966995393826366,-81.8506120268418,2271.607606272726
303.0,47.96695488130325,-81.85061130967611,2242.76342058683
304.0,47.966971582045346,-81.85071236344224,2208.4554544079087
305.0,47.967056820422755,-81.85089387036382,2172.625620798691
306.0,47.967082942101854,-81.85086108822905,2129.061288649312
307.0,47.9671555550877,-81.85064655730382,2106.8283346900416
308.0,47.967077245747056,-81.85087651032121,2080.701604364042
309.0,47.96703318803847,-81.85096338097539,2085.283739693913
310.0,47.96704362358083,-81.85111636259349,2061.271571323127
311.0,47.96710612160996,-81.85109711616036,2004.86105226451
312.0,47.96697872792561,-81.85105237129206,1999.645284901352
313.0,47.96726128013226,-81.85134617989829,1992.7028760791839
314.0,47.967043725914166,-81.85129309257955,1952.3578426786169
315.0,47.96713841102952,-81.85127017258705,1900.474040717962
316.0,47.967110312135866,-81.85100841570312,1870.5528106093238
317.0,47.966994328677686,-81.85117164023097,1883.6250330561368
318.0,47.966939540712175,-81.85134146183715,1831.6506585741831
319.0,47.96704733313613,-81.85153245745487,1813.4155732377983
320.0,47.96723164343814,-81.85147931819576,1768.8075154588892
321.0,47.967236056043696,-81.85136553818604,1787.0362980148252
322.0,47.96701225009047,-81.85132179747418,1734.1931397963901
323.0,47.96728574126679,-81.85191057620801,1764.5975425797499
324.0,47.966995517905886,-81.85134224799447,1719.12994721834
325.0,47.96716760383281,-81.85154006611882,1670.439621066368
326.0,47.96709725734417,-81.85181351432931,1667.3853560470634
327.0,47.96723627628191,-81.85159394687076,1657.9682443059448
328.0,47.967182484400965,-81.85186909582322,1619.164696042182
329.0,47.96724596130164,-81.85180766661976,1592.2456050801156
330.0,47.96715994810781,-81.85156132409016,1569.463217586743
331.0,47.967241209991,-81.851950090349,1560.2405600243603
332.0,47.96714850431061,-81.85206021720204,1521.5176593247809
333.0,47.96713328932993,-81.85181589850102,1482.6542348776602
334.0,47.96727460640561,-81.85182037185098,1455.6413685474727
335.0,47.96735583852805,-81.85202168994203,1453.3110727507556
336.0,47.9673434363252,-81.85201426737848,1454.2399526863549
337.0,47.96719877785523,-81.85173397023624,1400.7045186556716
338.0,47.96720077756824,-81.85222262983517,1392.0701664477774
